GENRE	TEXT	LABEL	EXTRACTION
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0011	ita	condottiere
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0017	ita	Bartolommeo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0019	ita	condottiere
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0021	ita	Donizetti
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0023	ita	Leonardo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0025	ita	La Città Alta
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0027	ita	piazza
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0029	ita	Sta Maria d Oleono
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0031	ita	Fiera di Sant Alessandro
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0033	ita	Val Brembana
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0035	ita	festival BRESCIA Brescia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0037	ita	Brescia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0041	ita	Girolamo Ioli
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_06_out.txt_0045	ita	Sta Afra
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0002	ita	Brescia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0004	ita	Brescia La Rotunda
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0006	ita	Duomo Nuovo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0008	ita	Duomo Nuovo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0010	ita	Brescia
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0012	ita	piazza
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0014	ita	Duomo Nuovo
GUIDEBOOK	Cathedral_Cities_of_Italy.txt_07_out.txt_0016	ita	Brotello
